customer_jid,arrival_ts,start_service_ts,end_ts,teller_jid,wait_time,system_time
customer7114@localhost,1770590751.340548,1770590761.2226074,1770590765.0799918,teller2@localhost,9.882059335708618,13.7394437789917
customer9843@localhost,1770590752.1188745,1770590761.9904246,1770590764.5265603,teller1@localhost,9.8715500831604,12.40768575668335
customer4673@localhost,1770590752.699712,1770590764.1336868,1770590769.0647392,teller4@localhost,11.433974742889404,16.36502718925476
customer7541@localhost,1770590753.3593578,1770590764.5266967,1770590768.3572905,teller1@localhost,11.167338848114014,14.99793267250061
customer9904@localhost,1770590754.8625855,1770590765.0800512,1770590769.0504994,teller2@localhost,10.21746563911438,14.18791389465332
customer4477@localhost,1770590755.8498054,1770590765.7030518,1770590767.944045,teller3@localhost,9.853246450424194,12.094239711761475
customer2620@localhost,1770590756.8438683,1770590767.9441395,1770590772.6839454,teller3@localhost,11.100271224975586,15.84007716178894
customer9975@localhost,1770590757.8500419,1770590768.3573759,1770590772.877586,teller1@localhost,10.507333993911743,15.027544021606445
customer8481@localhost,1770590759.1235533,1770590769.0505538,1770590772.099428,teller2@localhost,9.927000522613525,12.975874662399292
customer3095@localhost,1770590759.6883733,1770590769.0647988,1770590771.46753,teller4@localhost,9.376425504684448,11.779156684875488
customer7229@localhost,1770590760.277075,1770590771.467613,1770590775.1817727,teller4@localhost,11.190537929534912,14.90469765663147
customer1593@localhost,1770590760.9402356,1770590772.0994864,1770590775.2387908,teller2@localhost,11.159250736236572,14.298555135726929
customer8810@localhost,1770590762.351424,1770590772.6840029,1770590777.8930593,teller3@localhost,10.332578897476196,15.541635274887085
customer4970@localhost,1770590763.1438763,1770590772.8776822,1770590776.4611459,teller1@localhost,9.733805894851685,13.317269563674927
customer4938@localhost,1770590763.8477879,1770590775.1818438,1770590778.2635603,teller4@localhost,11.33405590057373,14.415772438049316
customer2445@localhost,1770590765.3751993,1770590775.238926,1770590778.2832894,teller2@localhost,9.863726615905762,12.908090114593506
customer4282@localhost,1770590767.435016,1770590776.4611957,1770590779.95502,teller1@localhost,9.026179790496826,12.520004034042358
customer1357@localhost,1770590768.3540695,1770590777.8932421,1770590780.8574698,teller3@localhost,9.539172649383545,12.503400325775146
customer5880@localhost,1770590768.9608073,1770590778.2636058,1770590782.8996773,teller4@localhost,9.302798509597778,13.938869953155518
customer4408@localhost,1770590770.353284,1770590778.2833402,1770590781.825174,teller2@localhost,7.93005633354187,11.471890211105347
customer4346@localhost,1770590771.9331872,1770590779.9550858,1770590783.247382,teller1@localhost,8.0218985080719,11.314194679260254
customer4560@localhost,1770590772.6353536,1770590780.8575277,1770590784.643495,teller3@localhost,8.222174167633057,12.00814151763916
customer9392@localhost,1770590773.3885727,1770590781.8252406,1770590786.827682,teller2@localhost,8.436667919158936,13.439109325408936
customer2832@localhost,1770590775.6989,1770590782.8997698,1770590787.3659322,teller4@localhost,7.200869798660278,11.667032241821289
customer3986@localhost,1770590776.606718,1770590783.2474396,1770590787.8573937,teller1@localhost,6.640721559524536,11.250675678253174
customer2676@localhost,1770590777.363383,1770590784.6435556,1770590786.8594341,teller3@localhost,7.28017258644104,9.49605107307434
customer3693@localhost,1770590780.655817,1770590786.827793,1770590790.3771787,teller2@localhost,6.17197585105896,9.721361637115479
customer1925@localhost,1770590782.878662,1770590786.8594954,1770590789.0576968,teller3@localhost,3.9808332920074463,6.17903470993042
customer9214@localhost,1770590784.1866384,1770590787.366018,1770590790.5361907,teller4@localhost,3.17937970161438,6.349552392959595
customer2522@localhost,1770590785.1003807,1770590787.8575196,1770590790.5707052,teller1@localhost,2.757138967514038,5.470324516296387
customer9937@localhost,1770590786.343645,1770590789.057757,1770590793.7357082,teller3@localhost,2.714111804962158,7.392063140869141
customer7592@localhost,1770590788.852,1770590790.3772404,1770590792.8883018,teller2@localhost,1.525240421295166,4.036301851272583
customer8042@localhost,1770590790.8718693,1770590790.8719122,1770590793.975818,teller4@localhost,4.291534423828125e-05,3.1039485931396484
customer2793@localhost,1770590792.6260467,1770590792.6260693,1770590797.9826927,teller1@localhost,2.2649765014648438e-05,5.3566460609436035
customer4637@localhost,1770590793.356614,1770590793.356646,1770590797.3844404,teller2@localhost,3.1948089599609375e-05,4.027826309204102
customer6076@localhost,1770590794.850872,1770590794.8509088,1770590798.8083456,teller3@localhost,3.6716461181640625e-05,3.9574735164642334
customer4311@localhost,1770590796.879952,1770590796.8799736,1770590800.0827663,teller4@localhost,2.1696090698242188e-05,3.2028143405914307
customer3263@localhost,1770590797.7370522,1770590797.7370815,1770590799.9025977,teller2@localhost,2.9325485229492188e-05,2.1655454635620117
