customer_jid,arrival_ts,start_service_ts,end_ts,teller_jid,wait_time,system_time
customer9230@localhost,1770595498.843947,1770595502.6108937,1770595505.164119,teller4@localhost,3.766946792602539,6.320172071456909
customer3958@localhost,1770595500.4937742,1770595502.6109724,1770595506.211929,teller2@localhost,2.1171982288360596,5.7181549072265625
customer4728@localhost,1770595502.9985917,1770595502.9986112,1770595506.8602388,teller3@localhost,1.9550323486328125e-05,3.861647129058838
customer1654@localhost,1770595504.494831,1770595504.4948635,1770595508.623426,teller1@localhost,3.24249267578125e-05,4.128594875335693
customer5797@localhost,1770595506.4917367,1770595506.4917572,1770595511.0234802,teller4@localhost,2.0503997802734375e-05,4.53174352645874
customer6741@localhost,1770595507.0510757,1770595507.0510972,1770595509.09008,teller3@localhost,2.1457672119140625e-05,2.039004325866699
customer6056@localhost,1770595508.4886777,1770595508.4886978,1770595512.9386346,teller2@localhost,2.002716064453125e-05,4.449956893920898
customer2439@localhost,1770595512.001273,1770595512.0012953,1770595517.0012405,teller3@localhost,2.2411346435546875e-05,4.999967575073242
customer6975@localhost,1770595512.5547261,1770595512.5547464,1770595517.5244129,teller4@localhost,2.0265579223632812e-05,4.96968674659729
customer6324@localhost,1770595513.1080966,1770595513.1081178,1770595517.524517,teller2@localhost,2.1219253540039062e-05,4.4164204597473145
customer9570@localhost,1770595514.4991775,1770595514.4991965,1770595519.7618613,teller1@localhost,1.9073486328125e-05,5.262683868408203
customer8053@localhost,1770595517.9959877,1770595517.9960103,1770595522.157275,teller3@localhost,2.2649765014648438e-05,4.161287307739258
customer3700@localhost,1770595518.3304524,1770595518.330486,1770595522.8176727,teller2@localhost,3.361701965332031e-05,4.487220287322998
customer8724@localhost,1770595520.4846752,1770595520.4846947,1770595525.0122814,teller4@localhost,1.9550323486328125e-05,4.527606248855591
customer3045@localhost,1770595523.486457,1770595523.4864774,1770595527.3665106,teller3@localhost,2.0265579223632812e-05,3.8800535202026367
customer8561@localhost,1770595524.4935796,1770595524.4936013,1770595528.889136,teller2@localhost,2.1696090698242188e-05,4.395556449890137
customer5307@localhost,1770595525.0609155,1770595525.0609365,1770595529.522322,teller4@localhost,2.09808349609375e-05,4.461406469345093
customer1291@localhost,1770595526.4924839,1770595526.4925056,1770595529.3654919,teller1@localhost,2.1696090698242188e-05,2.8730080127716064
customer2270@localhost,1770595527.2691026,1770595527.366563,1770595531.1934397,teller3@localhost,0.09746050834655762,3.924337148666382
customer8113@localhost,1770595528.0547059,1770595528.8892496,1770595532.6744921,teller2@localhost,0.8345437049865723,4.619786262512207
customer5459@localhost,1770595529.523771,1770595529.5237973,1770595532.9177473,teller4@localhost,2.6226043701171875e-05,3.3939762115478516
customer8503@localhost,1770595531.5008655,1770595531.500889,1770595534.5946496,teller3@localhost,2.3603439331054688e-05,3.0937840938568115
customer4614@localhost,1770595532.5055695,1770595532.505589,1770595534.6189513,teller1@localhost,1.9550323486328125e-05,2.113381862640381
customer6347@localhost,1770595533.996237,1770595533.9962797,1770595536.9925742,teller4@localhost,4.267692565917969e-05,2.9963371753692627
customer3098@localhost,1770595534.700844,1770595534.700894,1770595539.6455202,teller3@localhost,5.0067901611328125e-05,4.944676160812378
customer2313@localhost,1770595535.4838107,1770595535.4838357,1770595540.7086995,teller2@localhost,2.5033950805664062e-05,5.224888801574707
customer2993@localhost,1770595536.4864087,1770595536.4864442,1770595538.499782,teller1@localhost,3.552436828613281e-05,2.013373374938965
customer6737@localhost,1770595538.496311,1770595538.4963315,1770595543.0366912,teller4@localhost,2.0503997802734375e-05,4.540380239486694
customer6008@localhost,1770595539.4378202,1770595539.43785,1770595542.5862339,teller1@localhost,2.9802322387695312e-05,3.14841365814209
customer4707@localhost,1770595540.2188272,1770595540.218847,1770595542.292687,teller3@localhost,1.9788742065429688e-05,2.073859691619873
customer8385@localhost,1770595541.4900448,1770595541.4900646,1770595545.3027906,teller2@localhost,1.9788742065429688e-05,3.8127458095550537
customer3219@localhost,1770595542.5574348,1770595542.5574577,1770595547.8757913,teller3@localhost,2.288818359375e-05,5.318356513977051
customer1802@localhost,1770595543.5034816,1770595543.5035007,1770595547.6685874,teller4@localhost,1.9073486328125e-05,4.165105819702148
