ts,queue_len
1770595526.492543,0
1770595527.2691026,1
1770595527.366586,0
1770595528.0547059,1
1770595528.0749135,1
1770595528.4500816,1
1770595528.8893101,0
1770595529.523771,1
1770595529.5238678,0
1770595529.5428164,0
1770595529.9507444,0
1770595530.451613,0
1770595531.5008655,1
1770595531.5009573,0
1770595531.5207672,0
1770595532.5055695,1
1770595532.5056243,0
1770595532.5263417,0
1770595532.9508367,0
1770595533.996237,1
1770595533.9963691,0
1770595534.700844,1
1770595534.7011552,0
1770595534.720906,0
1770595535.4838107,1
1770595535.483883,0
1770595535.5044327,0
1770595536.4864087,1
1770595536.4865382,0
1770595536.5068693,0
1770595536.950664,0
1770595537.4507256,0
1770595538.496311,1
1770595538.4963865,0
1770595539.4378202,1
1770595539.4379315,0
1770595540.2188272,1
1770595540.2188897,0
1770595540.2396011,0
1770595540.4504313,0
1770595541.4900448,1
1770595541.4901352,0
1770595541.512464,0
1770595542.5574348,1
1770595542.5575037,0
1770595542.577632,0
1770595543.5034816,1
1770595543.5035326,0
1770595543.5241578,0
1770595543.9500837,0
1770595544.4500234,0
1770595544.9499476,0
1770595545.4500957,0
1770595545.949827,0
1770595546.4496877,0
1770595546.9508226,0
1770595547.4511201,0
1770595547.9516397,0
1770595548.4505415,0
1770595548.9518871,0
1770595549.4509523,0
1770595549.9498844,0
1770595550.4507766,0
1770595550.9506698,0
1770595551.4509356,0
1770595551.950633,0
1770595552.4502668,0
1770595552.9504259,0
1770595553.4507859,0
